file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,stage,# tasks,sum task time,sum biggest task time of each exec,avg tasks time
spark-history/application_1597648744156_0072,query84_cluster_500G,84,500,beta,8,28,29452,30,200,95373.0,11756.0,476.865
spark-history/application_1597648744156_0072,query84_cluster_500G,84,500,beta,8,28,29452,28,9,14597.0,14233.0,1621.888888888889
spark-history/application_1597648744156_0072,query84_cluster_500G,84,500,beta,8,28,29452,29,65,87187.0,12990.0,1341.3384615384616
spark-history/application_1597648744156_0044,query84_cluster_500G,84,500,beta,3,28,55077,30,200,80245.0,5095.0,401.225
spark-history/application_1597648744156_0044,query84_cluster_500G,84,500,beta,3,28,55077,28,4,6388.0,5484.0,1597.0
spark-history/application_1597648744156_0044,query84_cluster_500G,84,500,beta,3,28,55077,29,65,77342.0,4376.0,1189.876923076923
spark-history/application_1597648744156_0065,query52_cluster_500G,52,500,gamma,8,26,69264,27,200,35641.0,10057.0,178.205
spark-history/application_1597648744156_0065,query52_cluster_500G,52,500,gamma,8,26,69264,26,505,516438.0,28404.0,1022.649504950495
spark-history/application_1597648744156_0057,query40_cluster_500G,40,500,alpha,8,27,284923,30,200,16362.0,4261.0,81.81
spark-history/application_1597648744156_0057,query40_cluster_500G,40,500,alpha,8,27,284923,27,572,948587.0,36128.0,1658.368881118881
spark-history/application_1597648744156_0057,query40_cluster_500G,40,500,alpha,8,27,284923,28,43,79260.0,17370.0,1843.2558139534883
spark-history/application_1597648744156_0057,query40_cluster_500G,40,500,alpha,8,27,284923,29,200,1226234.0,108523.0,6131.17
spark-history/application_1597648744156_0060,query40_cluster_500G,40,500,alpha,7,27,294767,30,200,14483.0,2130.0,72.415
spark-history/application_1597648744156_0060,query40_cluster_500G,40,500,alpha,7,27,294767,27,43,79802.0,19457.0,1855.860465116279
spark-history/application_1597648744156_0060,query40_cluster_500G,40,500,alpha,7,27,294767,28,572,903644.0,36737.0,1579.7972027972028
spark-history/application_1597648744156_0060,query40_cluster_500G,40,500,alpha,7,27,294767,29,200,1051257.0,77686.0,5256.285
spark-history/application_1597648744156_0047,query40_cluster_500G,40,500,alpha,7,27,354630,30,200,20044.0,5216.0,100.22
spark-history/application_1597648744156_0047,query40_cluster_500G,40,500,alpha,7,27,354630,27,572,870876.0,37477.0,1522.5104895104896
spark-history/application_1597648744156_0047,query40_cluster_500G,40,500,alpha,7,27,354630,28,43,78616.0,15282.0,1828.2790697674418
