file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,stage,# tasks,sum task time,sum biggest task time of each exec,avg tasks time
spark-history/application_1597665317929_0037,query52_cluster_500G,52,500,alpha,8,26,118837,27,200,27539.0,15705.0,137.695
spark-history/application_1597665317929_0037,query52_cluster_500G,52,500,alpha,8,26,118837,26,505,619618.0,53487.0,1226.9663366336633
spark-history/application_1597665317929_0029,query52_cluster_500G,52,500,alpha,8,26,135318,27,200,44595.0,20121.0,222.975
spark-history/application_1597665317929_0029,query52_cluster_500G,52,500,alpha,8,26,135318,26,505,552498.0,43045.0,1094.0554455445545
spark-history/application_1597665317929_0016,query52_cluster_500G,52,500,alpha,8,26,70697,27,200,34782.0,9555.0,173.91
spark-history/application_1597665317929_0016,query52_cluster_500G,52,500,alpha,8,26,70697,26,505,527976.0,26787.0,1045.4970297029704
spark-history/application_1597665317929_0033,query20_cluster_500G,20,500,beta,4,26,62545,27,200,11630.0,3533.0,58.15
spark-history/application_1597665317929_0033,query20_cluster_500G,20,500,beta,4,26,62545,28,200,15531.0,7314.0,77.655
spark-history/application_1597665317929_0033,query20_cluster_500G,20,500,beta,4,26,62545,26,572,218620.0,10359.0,382.2027972027972
spark-history/application_1597665317929_0012,query20_cluster_500G,20,500,beta,4,26,42388,27,200,9859.0,2031.0,49.295
spark-history/application_1597665317929_0012,query20_cluster_500G,20,500,beta,4,26,42388,28,200,11539.0,3071.0,57.695
spark-history/application_1597665317929_0012,query20_cluster_500G,20,500,beta,4,26,42388,26,572,144482.0,7562.0,252.5909090909091
spark-history/application_1597665317929_0049,query20_cluster_500G,20,500,gamma,4,26,72628,27,200,8859.0,1350.0,44.295
spark-history/application_1597665317929_0049,query20_cluster_500G,20,500,gamma,4,26,72628,28,200,12092.0,5170.0,60.46
spark-history/application_1597665317929_0049,query20_cluster_500G,20,500,gamma,4,26,72628,26,572,260406.0,17514.0,455.25524475524475
spark-history/application_1597665317929_0039,query20_cluster_500G,20,500,beta,8,26,38298,27,200,16163.0,2197.0,80.815
spark-history/application_1597665317929_0039,query20_cluster_500G,20,500,beta,8,26,38298,28,200,19025.0,9242.0,95.125
spark-history/application_1597665317929_0039,query20_cluster_500G,20,500,beta,8,26,38298,26,572,252122.0,22490.0,440.77272727272725
spark-history/application_1597665317929_0022,query52_cluster_500G,52,500,alpha,8,26,80690,27,200,84114.0,40099.0,420.57
spark-history/application_1597665317929_0022,query52_cluster_500G,52,500,alpha,8,26,80690,26,505,557017.0,26695.0,1103.0039603960397
spark-history/application_1597665317929_0041,query20_cluster_500G,20,500,gamma,5,26,53653,27,200,9605.0,2090.0,48.025
spark-history/application_1597665317929_0041,query20_cluster_500G,20,500,gamma,5,26,53653,28,200,12752.0,5082.0,63.76
spark-history/application_1597665317929_0041,query20_cluster_500G,20,500,gamma,5,26,53653,26,572,230932.0,9817.0,403.72727272727275
spark-history/application_1597665317929_0011,query20_cluster_500G,20,500,gamma,8,26,33624,27,200,9213.0,853.0,46.065
spark-history/application_1597665317929_0011,query20_cluster_500G,20,500,gamma,8,26,33624,28,200,20251.0,11969.0,101.255
spark-history/application_1597665317929_0011,query20_cluster_500G,20,500,gamma,8,26,33624,26,572,210465.0,23755.0,367.9458041958042
spark-history/application_1597665317929_0023,query20_cluster_500G,20,500,gamma,8,26,31105,27,200,10343.0,799.0,51.715
spark-history/application_1597665317929_0023,query20_cluster_500G,20,500,gamma,8,26,31105,28,200,18854.0,10324.0,94.27
spark-history/application_1597665317929_0023,query20_cluster_500G,20,500,gamma,8,26,31105,26,572,187227.0,21188.0,327.3199300699301
spark-history/application_1597665317929_0027,query20_cluster_500G,20,500,beta,3,26,57875,27,200,11284.0,2487.0,56.42
spark-history/application_1597665317929_0027,query20_cluster_500G,20,500,beta,3,26,57875,28,200,9397.0,2793.0,46.985
spark-history/application_1597665317929_0027,query20_cluster_500G,20,500,beta,3,26,57875,26,572,150579.0,5585.0,263.25
spark-history/application_1597665317929_0020,query20_cluster_500G,20,500,gamma,4,26,48482,27,200,12022.0,3497.0,60.11
spark-history/application_1597665317929_0020,query20_cluster_500G,20,500,gamma,4,26,48482,28,200,11188.0,3244.0,55.94
spark-history/application_1597665317929_0020,query20_cluster_500G,20,500,gamma,4,26,48482,26,572,170860.0,9149.0,298.7062937062937
spark-history/application_1597665317929_0058,query20_cluster_500G,20,500,beta,8,26,37111,27,200,32147.0,4387.0,160.735
spark-history/application_1597665317929_0058,query20_cluster_500G,20,500,beta,8,26,37111,28,200,17899.0,7946.0,89.495
spark-history/application_1597665317929_0058,query20_cluster_500G,20,500,beta,8,26,37111,26,572,244155.0,22158.0,426.8444055944056
spark-history/application_1597665317929_0040,query52_cluster_500G,52,500,alpha,7,26,126488,27,200,30142.0,9008.0,150.71
spark-history/application_1597665317929_0040,query52_cluster_500G,52,500,alpha,7,26,126488,26,505,572967.0,47935.0,1134.5881188118813
spark-history/application_1597665317929_0057,query52_cluster_500G,52,500,alpha,8,26,66642,27,200,38140.0,10602.0,190.7
spark-history/application_1597665317929_0057,query52_cluster_500G,52,500,alpha,8,26,66642,26,505,491958.0,25041.0,974.1742574257426
spark-history/application_1597665317929_0028,query20_cluster_500G,20,500,gamma,5,26,49349,27,200,12507.0,3384.0,62.535
spark-history/application_1597665317929_0028,query20_cluster_500G,20,500,gamma,5,26,49349,28,200,12762.0,4230.0,63.81
spark-history/application_1597665317929_0028,query20_cluster_500G,20,500,gamma,5,26,49349,26,572,218009.0,10968.0,381.13461538461536
spark-history/application_1597665317929_0047,query52_cluster_500G,52,500,alpha,4,26,166461,27,200,24338.0,6641.0,121.69
spark-history/application_1597665317929_0047,query52_cluster_500G,52,500,alpha,4,26,166461,26,505,640420.0,20414.0,1268.1584158415842
spark-history/application_1597665317929_0004,query52_cluster_500G,52,500,alpha,3,26,159970,27,200,19632.0,5472.0,98.16
spark-history/application_1597665317929_0004,query52_cluster_500G,52,500,alpha,3,26,159970,26,505,306186.0,4398.0,606.3089108910891
spark-history/application_1597665317929_0031,query20_cluster_500G,20,500,gamma,2,26,82308,27,200,8787.0,1194.0,43.935
spark-history/application_1597665317929_0031,query20_cluster_500G,20,500,gamma,2,26,82308,28,200,8589.0,1815.0,42.945
spark-history/application_1597665317929_0031,query20_cluster_500G,20,500,gamma,2,26,82308,26,572,147789.0,3237.0,258.3723776223776
spark-history/application_1597665317929_0008,query20_cluster_500G,20,500,gamma,8,26,36636,27,200,29980.0,5495.0,149.9
spark-history/application_1597665317929_0008,query20_cluster_500G,20,500,gamma,8,26,36636,28,200,16719.0,6532.0,83.595
