file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,"stage 30, # tasks","stage 30, sum task time","stage 30, sum biggest task time of each exec","stage 28, # tasks","stage 28, sum task time","stage 28, sum biggest task time of each exec","stage 29, # tasks","stage 29, sum task time","stage 29, sum biggest task time of each exec"
spark-history/application_1597310437327_0071,query84_cluster_500G,84,500,alpha,8,28,23040,200,99283.0,14725.0,65,68402.0,15477.0,9,8467.0,8331.0
spark-history/application_1597310437327_0037,query84_cluster_500G,84,500,beta,8,28,25130,200,91162.0,9459.0,65,68554.0,14558.0,9,8037.0,7892.0
spark-history/application_1597310437327_0061,query84_cluster_500G,84,500,beta,8,28,24788,200,87086.0,9558.0,65,68542.0,14656.0,9,8959.0,8733.0
spark-history/application_1597310437327_0064,query84_cluster_500G,84,500,beta,8,28,22479,200,100271.0,13075.0,65,67044.0,15193.0,9,8369.0,8220.0
spark-history/application_1597310437327_0062,query84_cluster_500G,84,500,beta,8,28,23183,200,104310.0,13694.0,9,14098.0,13762.0,65,63257.0,11228.0
spark-history/application_1597310437327_0059,query84_cluster_500G,84,500,beta,8,28,25594,200,91304.0,8888.0,9,14123.0,13911.0,65,64985.0,11847.0
spark-history/application_1597310437327_0051,query84_cluster_500G,84,500,alpha,7,28,24572,200,91653.0,12065.0,7,12478.0,12478.0,65,63280.0,9299.0
spark-history/application_1597310437327_0069,query84_cluster_500G,84,500,alpha,8,28,25539,200,91834.0,9906.0,9,14480.0,14237.0,65,63055.0,10774.0
spark-history/application_1597310437327_0066,query84_cluster_500G,84,500,alpha,8,28,25990,200,92963.0,9041.0,65,70225.0,15122.0,9,8608.0,8459.0
spark-history/application_1597310437327_0053,query84_cluster_500G,84,500,alpha,8,28,24695,200,87547.0,9244.0,65,67989.0,14403.0,9,9080.0,8951.0
spark-history/application_1597310437327_0035,query84_cluster_500G,84,500,beta,5,28,31560,200,86854.0,7915.0,65,62698.0,8195.0,5,5501.0,5501.0
spark-history/application_1597310437327_0067,query84_cluster_500G,84,500,alpha,8,28,22671,200,99124.0,13350.0,65,68527.0,15508.0,9,9190.0,8957.0
spark-history/application_1597310437327_0033,query84_cluster_500G,84,500,alpha,4,28,37946,200,83088.0,6671.0,5,7018.0,6907.0,65,59789.0,4698.0
spark-history/application_1597310437327_0056,query84_cluster_500G,84,500,beta,8,28,24417,200,85564.0,9029.0,65,70156.0,15640.0,9,8133.0,7973.0
spark-history/application_1597310437327_0047,query84_cluster_500G,84,500,beta,8,28,24619,200,88615.0,9499.0,65,67804.0,14841.0,9,8194.0,8048.0
spark-history/application_1597310437327_0043,query84_cluster_500G,84,500,alpha,7,28,28517,200,86540.0,7616.0,7,12079.0,12079.0,65,63967.0,9702.0
spark-history/application_1597310437327_0042,query84_cluster_500G,84,500,beta,8,28,23491,200,103837.0,12951.0,9,14433.0,14242.0,65,66419.0,11439.0
spark-history/application_1597310437327_0052,query84_cluster_500G,84,500,beta,8,28,24940,200,90239.0,9707.0,65,67519.0,14587.0,9,8909.0,8721.0
spark-history/application_1597310437327_0045,query84_cluster_500G,84,500,beta,8,28,25112,200,90637.0,8918.0,65,68952.0,15179.0,9,8270.0,8133.0
spark-history/application_1597310437327_0057,query84_cluster_500G,84,500,alpha,8,28,24872,200,90623.0,9874.0,65,67092.0,14867.0,9,8540.0,8357.0
spark-history/application_1597310437327_0060,query84_cluster_500G,84,500,alpha,8,28,25985,200,94652.0,8609.0,65,69479.0,15696.0,9,8619.0,8497.0
spark-history/application_1597310437327_0048,query84_cluster_500G,84,500,beta,8,28,25985,200,93293.0,10252.0,9,14319.0,14022.0,65,65289.0,11099.0
spark-history/application_1597310437327_0068,query84_cluster_500G,84,500,alpha,8,28,25758,200,94881.0,10059.0,65,68299.0,15432.0,9,8074.0,7904.0
spark-history/application_1597310437327_0050,query84_cluster_500G,84,500,beta,8,28,25191,200,90080.0,9845.0,65,69283.0,15820.0,9,8391.0,8268.0
spark-history/application_1597310437327_0049,query84_cluster_500G,84,500,alpha,7,28,26415,200,90193.0,9542.0,65,69268.0,13004.0,7,7320.0,7320.0
spark-history/application_1597310437327_0032,query84_cluster_500G,84,500,beta,6,28,64439,200,78025.0,7274.0,65,59651.0,3595.0,3,2738.0,2675.0
