file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,"stage 30, # tasks","stage 30, sum task time","stage 30, sum biggest task time of each exec","stage 28, # tasks","stage 28, sum task time","stage 28, sum biggest task time of each exec","stage 29, # tasks","stage 29, sum task time","stage 29, sum biggest task time of each exec"
spark-history/application_1597310437327_0070,query84_cluster_500G,84,500,alpha,8,28,23643,200,107045.0,16427.0,65,70578.0,15274.0,9,8913.0,8772.0
spark-history/application_1597310437327_0038,query84_cluster_500G,84,500,beta,8,28,28845,200,74385.0,5503.0,65,69826.0,15590.0,9,8814.0,8678.0
spark-history/application_1597310437327_0065,query84_cluster_500G,84,500,beta,7,28,27777,200,82651.0,6839.0,65,68133.0,12918.0,7,8249.0,8249.0
spark-history/application_1597310437327_0055,query84_cluster_500G,84,500,alpha,8,28,25430,200,92888.0,9724.0,9,12799.0,12536.0,65,64052.0,10990.0
spark-history/application_1597310437327_0063,query84_cluster_500G,84,500,alpha,8,28,25561,200,89705.0,9287.0,9,14537.0,14246.0,65,64898.0,11424.0
spark-history/application_1597310437327_0058,query84_cluster_500G,84,500,beta,8,28,23195,200,103774.0,13194.0,9,14053.0,13740.0,65,63595.0,10890.0
spark-history/application_1597310437327_0040,query84_cluster_500G,84,500,beta,8,28,25167,200,91077.0,8950.0,65,68470.0,15062.0,9,8704.0,8570.0
spark-history/application_1597310437327_0044,query84_cluster_500G,84,500,beta,8,28,25127,200,90810.0,10187.0,65,68151.0,15889.0,9,8081.0,7967.0
spark-history/application_1597310437327_0041,query84_cluster_500G,84,500,alpha,8,28,25789,200,91707.0,10607.0,9,14299.0,14042.0,65,64467.0,11339.0
spark-history/application_1597310437327_0046,query84_cluster_500G,84,500,alpha,8,28,24990,200,89681.0,9607.0,65,69431.0,15433.0,9,7617.0,7499.0
spark-history/application_1597310437327_0039,query84_cluster_500G,84,500,alpha,8,28,25620,200,92588.0,9137.0,65,69181.0,14735.0,9,8262.0,8125.0
spark-history/application_1597310437327_0036,query84_cluster_500G,84,500,alpha,8,28,25248,200,90916.0,9344.0,9,14868.0,14671.0,65,61555.0,10719.0
spark-history/application_1597310437327_0034,query84_cluster_500G,84,500,alpha,8,28,68837,200,81523.0,10758.0,3,4332.0,4232.0,65,54826.0,2814.0
spark-history/application_1597310437327_0054,query84_cluster_500G,84,500,beta,8,28,25142,200,90125.0,9905.0,9,13702.0,13511.0,65,62786.0,11424.0
