file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,"stage 27, # tasks","stage 27, sum task time","stage 27, sum biggest task time of each exec","stage 28, # tasks","stage 28, sum task time","stage 28, sum biggest task time of each exec","stage 26, # tasks","stage 26, sum task time","stage 26, sum biggest task time of each exec"
spark-history/application_1597665317929_0120,query20_cluster_500G,20,500,beta,8,26,67396,200,10043.0,1815.0,200,24210.0,13853.0,572,228495.0,20216.0

file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,"stage 30, # tasks","stage 30, sum task time","stage 30, sum biggest task time of each exec","stage 28, # tasks","stage 28, sum task time","stage 28, sum biggest task time of each exec","stage 29, # tasks","stage 29, sum task time","stage 29, sum biggest task time of each exec"
spark-history/application_1597665317929_0132,query84_cluster_500G,84,500,gamma,7,28,31445,200,77403.0,5313.0,65,74005.0,13315.0,7,7828.0,7828.0
spark-history/application_1597665317929_0148,query84_cluster_500G,84,500,gamma,8,28,26226,200,94191.0,8921.0,65,72368.0,15818.0,9,8433.0,8252.0

file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,"stage 27, # tasks","stage 27, sum task time","stage 27, sum biggest task time of each exec","stage 28, # tasks","stage 28, sum task time","stage 28, sum biggest task time of each exec","stage 26, # tasks","stage 26, sum task time","stage 26, sum biggest task time of each exec"
spark-history/application_1597665317929_0127,query20_cluster_500G,20,500,beta,8,26,35689,200,35596.0,5586.0,200,15901.0,5467.0,572,232335.0,21315.0

file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,"stage 30, # tasks","stage 30, sum task time","stage 30, sum biggest task time of each exec","stage 28, # tasks","stage 28, sum task time","stage 28, sum biggest task time of each exec","stage 29, # tasks","stage 29, sum task time","stage 29, sum biggest task time of each exec"
spark-history/application_1597665317929_0129,query84_cluster_500G,84,500,gamma,4,28,43928,200,101760.0,9883.0,65,70429.0,6700.0,5,5209.0,5077.0

file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,"stage 30, # tasks","stage 30, sum task time","stage 30, sum biggest task time of each exec","stage 27, # tasks","stage 27, sum task time","stage 27, sum biggest task time of each exec","stage 28, # tasks","stage 28, sum task time","stage 28, sum biggest task time of each exec","stage 29, # tasks","stage 29, sum task time","stage 29, sum biggest task time of each exec"
spark-history/application_1597665317929_0131,query40_cluster_500G,40,500,alpha,8,27,307812,200,21802.0,3282.0,43,75038.0,10678.0,572,851898.0,37488.0,200,1005995.0,139400.0

file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,"stage 27, # tasks","stage 27, sum task time","stage 27, sum biggest task time of each exec","stage 28, # tasks","stage 28, sum task time","stage 28, sum biggest task time of each exec","stage 26, # tasks","stage 26, sum task time","stage 26, sum biggest task time of each exec"
spark-history/application_1597665317929_0116,query20_cluster_500G,20,500,beta,7,26,44366,200,8691.0,1061.0,200,15928.0,7045.0,572,263967.0,17879.0
spark-history/application_1597665317929_0136,query20_cluster_500G,20,500,beta,8,26,63997,200,15723.0,4214.0,200,24348.0,9820.0,572,204649.0,31332.0

