file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,"stage 30, # tasks","stage 30, sum task time","stage 30, sum biggest task time of each exec","stage 28, # tasks","stage 28, sum task time","stage 28, sum biggest task time of each exec","stage 29, # tasks","stage 29, sum task time","stage 29, sum biggest task time of each exec"
spark-history/application_1597310437327_0024,query84_cluster_500G,84,500,alpha,8,28,25995,200,89550.0,9499.0,65,72362.0,15882.0,9,9373.0,9196.0

file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,"stage 27, # tasks","stage 27, sum task time","stage 27, sum biggest task time of each exec","stage 28, # tasks","stage 28, sum task time","stage 28, sum biggest task time of each exec","stage 26, # tasks","stage 26, sum task time","stage 26, sum biggest task time of each exec"
spark-history/application_1597310437327_0014,query20_cluster_500G,20,500,beta,7,26,29245,200,8467.0,908.0,200,15978.0,8143.0,572,158090.0,18010.0
spark-history/application_1597310437327_0028,query20_cluster_500G,20,500,beta,8,26,29599,200,9414.0,1184.0,200,19029.0,10058.0,572,178631.0,22868.0
spark-history/application_1597310437327_0004,query20_cluster_500G,20,500,beta,4,26,51144,200,9498.0,1819.0,200,13127.0,3522.0,572,179802.0,8248.0
spark-history/application_1597310437327_0025,query20_cluster_500G,20,500,beta,8,26,28594,200,8528.0,820.0,200,18492.0,10034.0,572,175150.0,21700.0
spark-history/application_1597310437327_0011,query20_cluster_500G,20,500,beta,8,26,27210,200,26436.0,4683.0,200,18091.0,7815.0,572,171905.0,21723.0
spark-history/application_1597310437327_0031,query20_cluster_500G,20,500,beta,8,26,28587,200,9241.0,999.0,200,17380.0,9552.0,572,172875.0,21868.0
spark-history/application_1597310437327_0019,query20_cluster_500G,20,500,beta,8,26,29201,200,10112.0,973.0,200,18042.0,9931.0,572,173942.0,21418.0
spark-history/application_1597310437327_0016,query20_cluster_500G,20,500,beta,8,26,27023,200,27729.0,6005.0,200,17588.0,6437.0,572,167814.0,22410.0
spark-history/application_1597310437327_0007,query20_cluster_500G,20,500,beta,8,26,29619,200,8344.0,853.0,200,17314.0,9039.0,572,182960.0,23326.0
spark-history/application_1597310437327_0029,query20_cluster_500G,20,500,beta,8,26,27879,200,8451.0,1338.0,200,18766.0,9607.0,572,169656.0,21700.0
