file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,stage,# tasks,sum task time,sum biggest task time of each exec,avg tasks time
spark-history/application_1597665317929_0061,query52_cluster_500G,52,500,alpha,4,26,230768,27,200,72406.0,13844.0,362.03
spark-history/application_1597665317929_0061,query52_cluster_500G,52,500,alpha,4,26,230768,26,505,613161.0,34088.0,1214.180198019802
spark-history/application_1597665317929_0108,query52_cluster_500G,52,500,alpha,8,26,45861,27,200,34419.0,9784.0,172.095
spark-history/application_1597665317929_0108,query52_cluster_500G,52,500,alpha,8,26,45861,26,505,328021.0,24882.0,649.5465346534653
spark-history/application_1597665317929_0095,query20_cluster_500G,20,500,beta,8,26,43302,27,200,14739.0,2373.0,73.695
spark-history/application_1597665317929_0095,query20_cluster_500G,20,500,beta,8,26,43302,28,200,19993.0,10009.0,99.965
spark-history/application_1597665317929_0095,query20_cluster_500G,20,500,beta,8,26,43302,26,572,293947.0,22246.0,513.8933566433567
spark-history/application_1597665317929_0109,query52_cluster_500G,52,500,alpha,8,26,43908,27,200,35273.0,9367.0,176.365
spark-history/application_1597665317929_0109,query52_cluster_500G,52,500,alpha,8,26,43908,26,505,313560.0,24481.0,620.9108910891089
spark-history/application_1597665317929_0107,query52_cluster_500G,52,500,alpha,8,26,48418,27,200,33898.0,9367.0,169.49
spark-history/application_1597665317929_0107,query52_cluster_500G,52,500,alpha,8,26,48418,26,505,347418.0,25735.0,687.9564356435643
spark-history/application_1597665317929_0064,query20_cluster_500G,20,500,beta,4,26,88479,27,200,12090.0,3727.0,60.45
spark-history/application_1597665317929_0064,query20_cluster_500G,20,500,beta,4,26,88479,28,200,19415.0,12667.0,97.075
spark-history/application_1597665317929_0064,query20_cluster_500G,20,500,beta,4,26,88479,26,572,313923.0,8738.0,548.8164335664336
spark-history/application_1597665317929_0069,query20_cluster_500G,20,500,beta,8,26,32677,27,200,9535.0,1381.0,47.675
spark-history/application_1597665317929_0069,query20_cluster_500G,20,500,beta,8,26,32677,28,200,18764.0,10897.0,93.82
