file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,"stage 27, # tasks","stage 27, sum task time","stage 27, sum biggest task time of each exec","stage 28, # tasks","stage 28, sum task time","stage 28, sum biggest task time of each exec","stage 26, # tasks","stage 26, sum task time","stage 26, sum biggest task time of each exec"
spark-history/application_1597591361258_0013,query20_cluster_500G,20,500,beta,8,26,27350,200,31258.0,5638.0,200,15571.0,5816.0,572,170846.0,21037.0
spark-history/application_1597591361258_0025,query20_cluster_500G,20,500,beta,8,26,33100,200,10769.0,2779.0,200,18368.0,10532.0,572,201829.0,21614.0
spark-history/application_1597591361258_0026,query20_cluster_500G,20,500,alpha,8,26,29232,200,33455.0,5321.0,200,15533.0,5729.0,572,181702.0,20548.0
spark-history/application_1597591361258_0015,query20_cluster_500G,20,500,alpha,8,26,31742,200,9084.0,936.0,200,23177.0,13793.0,572,190845.0,21178.0
spark-history/application_1597591361258_0040,query20_cluster_500G,20,500,beta,5,26,42226,200,7897.0,733.0,200,14090.0,6280.0,572,156606.0,11361.0
spark-history/application_1597591361258_0012,query20_cluster_500G,20,500,alpha,8,26,28056,200,8592.0,1012.0,200,19303.0,10579.0,572,169640.0,22084.0
spark-history/application_1597591361258_0021,query20_cluster_500G,20,500,beta,5,26,38565,200,12915.0,3832.0,200,13446.0,3894.0,572,162330.0,10201.0
spark-history/application_1597591361258_0038,query20_cluster_500G,20,500,beta,8,26,31836,200,9425.0,870.0,200,18158.0,9633.0,572,196715.0,20656.0
spark-history/application_1597591361258_0039,query20_cluster_500G,20,500,alpha,3,26,56790,200,10430.0,1947.0,200,9878.0,2433.0,572,145225.0,5219.0
spark-history/application_1597591361258_0027,query20_cluster_500G,20,500,beta,8,26,27951,200,31648.0,5280.0,200,16923.0,6519.0,572,171467.0,20382.0
