file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,stage,# tasks,sum task time,sum biggest task time of each exec,avg tasks time
spark-history/application_1597691873800_0026,query52_cluster_500G,52,500,beta,8,26,104754,27,200,40980.0,22523.0,204.9
spark-history/application_1597691873800_0026,query52_cluster_500G,52,500,beta,8,26,104754,26,505,280494.0,6743.0,555.4336633663366
spark-history/application_1597691873800_0016,query52_cluster_500G,52,500,alpha,4,26,105824,27,200,23766.0,5871.0,118.83
spark-history/application_1597691873800_0016,query52_cluster_500G,52,500,alpha,4,26,105824,26,505,398580.0,10361.0,789.2673267326733
spark-history/application_1597691873800_0020,query52_cluster_500G,52,500,alpha,2,26,167516,27,200,13761.0,2222.0,68.805
spark-history/application_1597691873800_0020,query52_cluster_500G,52,500,alpha,2,26,167516,26,505,321661.0,4418.0,636.9524752475247
spark-history/application_1597691873800_0061,query52_cluster_500G,52,500,beta,8,26,70534,27,200,43661.0,11274.0,218.305
spark-history/application_1597691873800_0061,query52_cluster_500G,52,500,beta,8,26,70534,26,505,518568.0,24813.0,1026.8673267326733
spark-history/application_1597691873800_0059,query52_cluster_500G,52,500,beta,4,26,175869,27,200,22552.0,5244.0,112.76
spark-history/application_1597691873800_0059,query52_cluster_500G,52,500,beta,4,26,175869,26,505,680667.0,11289.0,1347.8554455445544
spark-history/application_1597691873800_0063,query52_cluster_500G,52,500,alpha,8,26,50316,27,200,33098.0,9842.0,165.49
spark-history/application_1597691873800_0063,query52_cluster_500G,52,500,alpha,8,26,50316,26,505,365630.0,24825.0,724.019801980198
spark-history/application_1597691873800_0069,query52_cluster_500G,52,500,alpha,8,26,60174,27,200,35930.0,10440.0,179.65
spark-history/application_1597691873800_0069,query52_cluster_500G,52,500,alpha,8,26,60174,26,505,442632.0,25320.0,876.4990099009901
spark-history/application_1597691873800_0051,query52_cluster_500G,52,500,gamma,6,26,77726,27,200,28653.0,6753.0,143.265
spark-history/application_1597691873800_0051,query52_cluster_500G,52,500,gamma,6,26,77726,26,505,434969.0,16586.0,861.3247524752476
spark-history/application_1597691873800_0042,query52_cluster_500G,52,500,beta,3,26,126976,27,200,22354.0,5777.0,111.77
spark-history/application_1597691873800_0042,query52_cluster_500G,52,500,beta,3,26,126976,26,505,360095.0,6981.0,713.059405940594
spark-history/application_1597691873800_0025,query52_cluster_500G,52,500,alpha,8,26,70305,27,200,44281.0,10942.0,221.405
spark-history/application_1597691873800_0025,query52_cluster_500G,52,500,alpha,8,26,70305,26,505,517307.0,25557.0,1024.370297029703
spark-history/application_1597691873800_0067,query52_cluster_500G,52,500,alpha,8,26,66078,27,200,36283.0,11765.0,181.415
spark-history/application_1597691873800_0067,query52_cluster_500G,52,500,alpha,8,26,66078,26,505,488636.0,24879.0,967.5960396039604
spark-history/application_1597691873800_0001,query52_cluster_500G,52,500,beta,2,26,164223,27,200,16153.0,2274.0,80.765
spark-history/application_1597691873800_0001,query52_cluster_500G,52,500,beta,2,26,164223,26,505,313313.0,4796.0,620.4217821782178
spark-history/application_1597691873800_0060,query52_cluster_500G,52,500,alpha,8,26,70136,27,200,34515.0,9949.0,172.575
spark-history/application_1597691873800_0060,query52_cluster_500G,52,500,alpha,8,26,70136,26,505,523488.0,27467.0,1036.609900990099
spark-history/application_1597691873800_0065,query52_cluster_500G,52,500,alpha,6,26,96329,27,200,27787.0,6935.0,138.935
spark-history/application_1597691873800_0065,query52_cluster_500G,52,500,alpha,6,26,96329,26,505,547656.0,16749.0,1084.4673267326732
spark-history/application_1597691873800_0041,query52_cluster_500G,52,500,alpha,7,26,69451,27,200,34682.0,9438.0,173.41
spark-history/application_1597691873800_0041,query52_cluster_500G,52,500,alpha,7,26,69451,26,505,450694.0,21654.0,892.4633663366336
spark-history/application_1597691873800_0036,query52_cluster_500G,52,500,alpha,8,26,75789,27,200,38896.0,12557.0,194.48
spark-history/application_1597691873800_0036,query52_cluster_500G,52,500,alpha,8,26,75789,26,505,561919.0,25653.0,1112.7108910891088
spark-history/application_1597691873800_0044,query52_cluster_500G,52,500,gamma,3,26,225723,27,200,62516.0,33981.0,312.58
spark-history/application_1597691873800_0044,query52_cluster_500G,52,500,gamma,3,26,225723,26,505,620816.0,11362.0,1229.3386138613862
spark-history/application_1597691873800_0032,query52_cluster_500G,52,500,beta,4,26,158698,27,200,24701.0,7513.0,123.505
spark-history/application_1597691873800_0032,query52_cluster_500G,52,500,beta,4,26,158698,26,505,610554.0,9680.0,1209.0178217821783
spark-history/application_1597691873800_0035,query52_cluster_500G,52,500,beta,8,26,64174,27,200,36850.0,10661.0,184.25
spark-history/application_1597691873800_0035,query52_cluster_500G,52,500,beta,8,26,64174,26,505,474361.0,26282.0,939.3287128712872
spark-history/application_1597691873800_0007,query52_cluster_500G,52,500,alpha,2,26,133441,27,200,17189.0,3275.0,85.945
spark-history/application_1597691873800_0007,query52_cluster_500G,52,500,alpha,2,26,133441,26,505,250702.0,4073.0,496.439603960396
spark-history/application_1597691873800_0048,query52_cluster_500G,52,500,gamma,4,26,187793,27,200,46078.0,17744.0,230.39
spark-history/application_1597691873800_0048,query52_cluster_500G,52,500,gamma,4,26,187793,26,505,703686.0,14630.0,1393.4376237623762
spark-history/application_1597691873800_0014,query52_cluster_500G,52,500,gamma,8,26,64265,27,200,38688.0,10332.0,193.44
spark-history/application_1597691873800_0014,query52_cluster_500G,52,500,gamma,8,26,64265,26,505,471974.0,27599.0,934.6019801980198
spark-history/application_1597691873800_0062,query52_cluster_500G,52,500,gamma,8,26,63760,27,200,35958.0,9575.0,179.79
spark-history/application_1597691873800_0062,query52_cluster_500G,52,500,gamma,8,26,63760,26,505,468697.0,24841.0,928.1128712871288
spark-history/application_1597691873800_0038,query52_cluster_500G,52,500,beta,4,26,159497,27,200,25386.0,7340.0,126.93
spark-history/application_1597691873800_0038,query52_cluster_500G,52,500,beta,4,26,159497,26,505,612812.0,15399.0,1213.489108910891
spark-history/application_1597691873800_0023,query52_cluster_500G,52,500,beta,3,26,101323,27,200,19557.0,4268.0,97.785
spark-history/application_1597691873800_0023,query52_cluster_500G,52,500,beta,3,26,101323,26,505,284681.0,6471.0,563.7247524752476
spark-history/application_1597691873800_0015,query52_cluster_500G,52,500,beta,4,26,101443,27,200,22026.0,5410.0,110.13
spark-history/application_1597691873800_0015,query52_cluster_500G,52,500,beta,4,26,101443,26,505,382879.0,10246.0,758.1762376237624
spark-history/application_1597691873800_0008,query52_cluster_500G,52,500,alpha,8,26,56122,27,200,39433.0,12667.0,197.165
spark-history/application_1597691873800_0008,query52_cluster_500G,52,500,alpha,8,26,56122,26,505,407739.0,28099.0,807.4039603960396
spark-history/application_1597691873800_0045,query52_cluster_500G,52,500,alpha,4,26,102285,27,200,20972.0,5157.0,104.86
spark-history/application_1597691873800_0045,query52_cluster_500G,52,500,alpha,4,26,102285,26,505,387995.0,11755.0,768.3069306930693
spark-history/application_1597691873800_0057,query52_cluster_500G,52,500,alpha,4,26,156865,27,200,25249.0,7204.0,126.245
spark-history/application_1597691873800_0057,query52_cluster_500G,52,500,alpha,4,26,156865,26,505,602693.0,13645.0,1193.4514851485148
spark-history/application_1597691873800_0043,query52_cluster_500G,52,500,alpha,8,26,178893,27,200,61079.0,28660.0,305.395
spark-history/application_1597691873800_0043,query52_cluster_500G,52,500,alpha,8,26,178893,26,505,430907.0,67772.0,853.2811881188119
spark-history/application_1597691873800_0022,query52_cluster_500G,52,500,alpha,7,26,63197,27,200,30732.0,7782.0,153.66
spark-history/application_1597691873800_0022,query52_cluster_500G,52,500,alpha,7,26,63197,26,505,407765.0,19488.0,807.4554455445544
spark-history/application_1597691873800_0006,query52_cluster_500G,52,500,beta,4,26,95518,27,200,20717.0,4761.0,103.585
spark-history/application_1597691873800_0006,query52_cluster_500G,52,500,beta,4,26,95518,26,505,318265.0,14307.0,630.2277227722773
spark-history/application_1597691873800_0052,query52_cluster_500G,52,500,alpha,3,26,159956,27,200,35389.0,9236.0,176.945
spark-history/application_1597691873800_0052,query52_cluster_500G,52,500,alpha,3,26,159956,26,505,451143.0,6672.0,893.3524752475248
spark-history/application_1597691873800_0039,query52_cluster_500G,52,500,alpha,4,26,144764,27,200,26352.0,8390.0,131.76
spark-history/application_1597691873800_0039,query52_cluster_500G,52,500,alpha,4,26,144764,26,505,553263.0,18111.0,1095.570297029703
spark-history/application_1597691873800_0027,query52_cluster_500G,52,500,alpha,4,26,147743,27,200,26157.0,7708.0,130.785
spark-history/application_1597691873800_0027,query52_cluster_500G,52,500,alpha,4,26,147743,26,505,564947.0,9754.0,1118.7069306930694
spark-history/application_1597691873800_0050,query52_cluster_500G,52,500,beta,3,26,223379,27,200,91605.0,5661.0,458.025
spark-history/application_1597691873800_0050,query52_cluster_500G,52,500,beta,3,26,223379,26,505,434040.0,16860.0,859.4851485148515
spark-history/application_1597691873800_0068,query52_cluster_500G,52,500,alpha,8,26,55627,27,200,33909.0,9143.0,169.545
spark-history/application_1597691873800_0068,query52_cluster_500G,52,500,alpha,8,26,55627,26,505,408363.0,25771.0,808.639603960396
spark-history/application_1597691873800_0019,query52_cluster_500G,52,500,beta,2,26,165491,27,200,16008.0,2486.0,80.04
spark-history/application_1597691873800_0019,query52_cluster_500G,52,500,beta,2,26,165491,26,505,315779.0,4028.0,625.3049504950495
spark-history/application_1597691873800_0037,query52_cluster_500G,52,500,gamma,8,26,99522,27,200,65394.0,21781.0,326.97
spark-history/application_1597691873800_0037,query52_cluster_500G,52,500,gamma,8,26,99522,26,505,730458.0,27254.0,1446.4514851485148
spark-history/application_1597691873800_0053,query52_cluster_500G,52,500,beta,3,26,136261,27,200,22137.0,6071.0,110.685
spark-history/application_1597691873800_0053,query52_cluster_500G,52,500,beta,3,26,136261,26,505,386822.0,6906.0,765.9841584158415
spark-history/application_1597691873800_0009,query52_cluster_500G,52,500,beta,2,26,136768,27,200,15384.0,3435.0,76.92
spark-history/application_1597691873800_0009,query52_cluster_500G,52,500,beta,2,26,136768,26,505,259138.0,4470.0,513.1445544554456
spark-history/application_1597691873800_0034,query52_cluster_500G,52,500,gamma,4,26,125611,27,200,28758.0,8806.0,143.79
spark-history/application_1597691873800_0034,query52_cluster_500G,52,500,gamma,4,26,125611,26,505,472008.0,11791.0,934.6693069306931
spark-history/application_1597691873800_0047,query52_cluster_500G,52,500,beta,4,26,185544,27,200,43993.0,22474.0,219.965
spark-history/application_1597691873800_0047,query52_cluster_500G,52,500,beta,4,26,185544,26,505,696632.0,14686.0,1379.4693069306932
spark-history/application_1597691873800_0005,query52_cluster_500G,52,500,alpha,4,26,103353,27,200,21240.0,5306.0,106.2
spark-history/application_1597691873800_0005,query52_cluster_500G,52,500,alpha,4,26,103353,26,505,341033.0,14558.0,675.3128712871287
spark-history/application_1597691873800_0011,query52_cluster_500G,52,500,gamma,4,26,111681,27,200,26694.0,8025.0,133.47
spark-history/application_1597691873800_0011,query52_cluster_500G,52,500,gamma,4,26,111681,26,505,420883.0,11024.0,833.4316831683168
spark-history/application_1597691873800_0031,query52_cluster_500G,52,500,gamma,4,26,142394,27,200,25567.0,7623.0,127.835
spark-history/application_1597691873800_0031,query52_cluster_500G,52,500,gamma,4,26,142394,26,505,543632.0,10081.0,1076.4990099009901
spark-history/application_1597691873800_0024,query52_cluster_500G,52,500,gamma,5,26,99727,27,200,20381.0,6234.0,101.905
spark-history/application_1597691873800_0024,query52_cluster_500G,52,500,gamma,5,26,99727,26,505,470370.0,12830.0,931.4257425742575
spark-history/application_1597691873800_0056,query52_cluster_500G,52,500,beta,7,26,84208,27,200,39734.0,10141.0,198.67
spark-history/application_1597691873800_0056,query52_cluster_500G,52,500,beta,7,26,84208,26,505,549427.0,20560.0,1087.9742574257425
spark-history/application_1597691873800_0028,query52_cluster_500G,52,500,beta,8,26,86962,27,200,105011.0,64576.0,525.055
spark-history/application_1597691873800_0028,query52_cluster_500G,52,500,beta,8,26,86962,26,505,587996.0,26339.0,1164.348514851485
spark-history/application_1597691873800_0033,query52_cluster_500G,52,500,alpha,4,26,134067,27,200,26676.0,6705.0,133.38
spark-history/application_1597691873800_0033,query52_cluster_500G,52,500,alpha,4,26,134067,26,505,508227.0,11732.0,1006.390099009901
spark-history/application_1597691873800_0046,query52_cluster_500G,52,500,beta,2,26,222416,27,200,26688.0,15197.0,133.44
spark-history/application_1597691873800_0046,query52_cluster_500G,52,500,beta,2,26,222416,26,505,419143.0,6246.0,829.9861386138614
spark-history/application_1597691873800_0040,query52_cluster_500G,52,500,gamma,4,26,130237,27,200,25880.0,7882.0,129.4
spark-history/application_1597691873800_0040,query52_cluster_500G,52,500,gamma,4,26,130237,26,505,493720.0,18732.0,977.6633663366337
spark-history/application_1597691873800_0029,query52_cluster_500G,52,500,gamma,8,26,76241,27,200,53154.0,19177.0,265.77
spark-history/application_1597691873800_0029,query52_cluster_500G,52,500,gamma,8,26,76241,26,505,554191.0,24973.0,1097.4079207920793
spark-history/application_1597691873800_0013,query52_cluster_500G,52,500,beta,4,26,111081,27,200,27817.0,11096.0,139.085
spark-history/application_1597691873800_0013,query52_cluster_500G,52,500,beta,4,26,111081,26,505,417336.0,12498.0,826.4079207920792
spark-history/application_1597691873800_0055,query52_cluster_500G,52,500,gamma,4,26,158716,27,200,29197.0,8069.0,145.985
spark-history/application_1597691873800_0055,query52_cluster_500G,52,500,gamma,4,26,158716,26,505,604545.0,10954.0,1197.118811881188
spark-history/application_1597691873800_0018,query52_cluster_500G,52,500,gamma,2,26,167066,27,200,15901.0,2511.0,79.505
spark-history/application_1597691873800_0018,query52_cluster_500G,52,500,gamma,2,26,167066,26,505,318663.0,3738.0,631.0158415841585
spark-history/application_1597691873800_0010,query52_cluster_500G,52,500,gamma,3,26,130374,27,200,17534.0,3116.0,87.67
spark-history/application_1597691873800_0010,query52_cluster_500G,52,500,gamma,3,26,130374,26,505,373196.0,6448.0,739.0019801980199
spark-history/application_1597691873800_0066,query52_cluster_500G,52,500,alpha,8,26,59457,27,200,38024.0,11767.0,190.12
spark-history/application_1597691873800_0066,query52_cluster_500G,52,500,alpha,8,26,59457,26,505,434580.0,26427.0,860.5544554455446
spark-history/application_1597691873800_0049,query52_cluster_500G,52,500,alpha,5,26,116495,27,200,35032.0,14318.0,175.16
spark-history/application_1597691873800_0049,query52_cluster_500G,52,500,alpha,5,26,116495,26,505,546002.0,14868.0,1081.1920792079209
spark-history/application_1597691873800_0012,query52_cluster_500G,52,500,alpha,8,26,57208,27,200,39112.0,10296.0,195.56
spark-history/application_1597691873800_0012,query52_cluster_500G,52,500,alpha,8,26,57208,26,505,416191.0,27187.0,824.1405940594059
spark-history/application_1597691873800_0064,query52_cluster_500G,52,500,alpha,8,26,140872,27,200,32839.0,13926.0,164.195
spark-history/application_1597691873800_0064,query52_cluster_500G,52,500,alpha,8,26,140872,26,505,448340.0,48994.0,887.8019801980198
spark-history/application_1597691873800_0058,query52_cluster_500G,52,500,gamma,8,26,60926,27,200,34729.0,10245.0,173.645
spark-history/application_1597691873800_0058,query52_cluster_500G,52,500,gamma,8,26,60926,26,505,449202.0,25096.0,889.5089108910892
spark-history/application_1597691873800_0004,query52_cluster_500G,52,500,alpha,2,26,164213,27,200,16690.0,2475.0,83.45
spark-history/application_1597691873800_0004,query52_cluster_500G,52,500,alpha,2,26,164213,26,505,313166.0,4702.0,620.130693069307
spark-history/application_1597691873800_0070,query52_cluster_500G,52,500,alpha,8,26,45023,27,200,31198.0,9844.0,155.99
spark-history/application_1597691873800_0070,query52_cluster_500G,52,500,alpha,8,26,45023,26,505,326284.0,24650.0,646.1069306930693
spark-history/application_1597691873800_0021,query52_cluster_500G,52,500,gamma,4,26,101717,27,200,22784.0,5217.0,113.92
spark-history/application_1597691873800_0021,query52_cluster_500G,52,500,gamma,4,26,101717,26,505,383625.0,10643.0,759.6534653465346
