file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,stage,# tasks,sum task time,sum biggest task time of each exec,avg tasks time
spark-history/application_1596699499837_0116,query20_cluster_500G,20,500,beta,4,26,116320,26,572,406302.0,31712.0,710.3181818181819
spark-history/application_1596699499837_0142,query52_cluster_500G,52,500,alpha,8,26,71539,27,200,37005.0,12310.0,185.025
spark-history/application_1596699499837_0142,query52_cluster_500G,52,500,alpha,8,26,71539,26,505,532759.0,26889.0,1054.968316831683
spark-history/application_1596699499837_0145,query52_cluster_500G,52,500,alpha,8,26,64087,27,200,39286.0,12437.0,196.43
spark-history/application_1596699499837_0145,query52_cluster_500G,52,500,alpha,8,26,64087,26,505,469662.0,27557.0,930.0237623762376
spark-history/application_1596699499837_0130,query52_cluster_500G,52,500,alpha,8,26,66931,27,200,116825.0,78795.0,584.125
spark-history/application_1596699499837_0130,query52_cluster_500G,52,500,alpha,8,26,66931,26,505,418027.0,25777.0,827.7762376237624
spark-history/application_1596699499837_0137,query52_cluster_500G,52,500,alpha,8,26,62006,27,200,53420.0,21616.0,267.1
spark-history/application_1596699499837_0137,query52_cluster_500G,52,500,alpha,8,26,62006,26,505,439015.0,26232.0,869.3366336633663
spark-history/application_1596699499837_0139,query20_cluster_500G,20,500,beta,8,26,45323,27,200,10685.0,1530.0,53.425
spark-history/application_1596699499837_0139,query20_cluster_500G,20,500,beta,8,26,45323,28,200,20459.0,12726.0,102.295
spark-history/application_1596699499837_0139,query20_cluster_500G,20,500,beta,8,26,45323,26,572,294603.0,22173.0,515.0402097902098
spark-history/application_1596699499837_0152,query20_cluster_500G,20,500,beta,8,26,28762,27,200,8937.0,844.0,44.685
spark-history/application_1596699499837_0152,query20_cluster_500G,20,500,beta,8,26,28762,28,200,19562.0,9544.0,97.81
spark-history/application_1596699499837_0152,query20_cluster_500G,20,500,beta,8,26,28762,26,572,174034.0,21123.0,304.25524475524475
spark-history/application_1596699499837_0138,query52_cluster_500G,52,500,alpha,8,26,62596,27,200,36955.0,11130.0,184.775
spark-history/application_1596699499837_0138,query52_cluster_500G,52,500,alpha,8,26,62596,26,505,459941.0,25879.0,910.7742574257426
spark-history/application_1596699499837_0136,query20_cluster_500G,20,500,beta,8,26,45541,27,200,8554.0,1079.0,42.77
spark-history/application_1596699499837_0136,query20_cluster_500G,20,500,beta,8,26,45541,28,200,19535.0,10384.0,97.675
spark-history/application_1596699499837_0136,query20_cluster_500G,20,500,beta,8,26,45541,26,572,306973.0,23855.0,536.666083916084
spark-history/application_1596699499837_0131,query20_cluster_500G,20,500,beta,4,26,71719,27,200,12049.0,3426.0,60.245
spark-history/application_1596699499837_0131,query20_cluster_500G,20,500,beta,4,26,71719,28,200,11934.0,3169.0,59.67
spark-history/application_1596699499837_0131,query20_cluster_500G,20,500,beta,4,26,71719,26,572,261997.0,7772.0,458.0367132867133
spark-history/application_1596699499837_0153,query20_cluster_500G,20,500,beta,8,26,27917,27,200,8785.0,730.0,43.925
spark-history/application_1596699499837_0153,query20_cluster_500G,20,500,beta,8,26,27917,28,200,16661.0,8612.0,83.305
spark-history/application_1596699499837_0153,query20_cluster_500G,20,500,beta,8,26,27917,26,572,170738.0,21830.0,298.493006993007
spark-history/application_1596699499837_0149,query20_cluster_500G,20,500,beta,8,26,36195,27,200,8719.0,697.0,43.595
spark-history/application_1596699499837_0149,query20_cluster_500G,20,500,beta,8,26,36195,28,200,16869.0,8709.0,84.345
spark-history/application_1596699499837_0149,query20_cluster_500G,20,500,beta,8,26,36195,26,572,236136.0,21285.0,412.8251748251748
spark-history/application_1596699499837_0140,query52_cluster_500G,52,500,alpha,8,26,59561,27,200,35822.0,11152.0,179.11
spark-history/application_1596699499837_0140,query52_cluster_500G,52,500,alpha,8,26,59561,26,505,437086.0,25830.0,865.5168316831683
spark-history/application_1596699499837_0147,query52_cluster_500G,52,500,alpha,8,26,65578,27,200,36822.0,10463.0,184.11
spark-history/application_1596699499837_0147,query52_cluster_500G,52,500,alpha,8,26,65578,26,505,486321.0,24977.0,963.0118811881188
spark-history/application_1596699499837_0114,query52_cluster_500G,52,500,alpha,4,26,188635,27,200,29450.0,8017.0,147.25
spark-history/application_1596699499837_0114,query52_cluster_500G,52,500,alpha,4,26,188635,26,505,715130.0,37534.0,1416.09900990099
spark-history/application_1596699499837_0122,query20_cluster_500G,20,500,beta,8,26,44144,27,200,10106.0,2299.0,50.53
spark-history/application_1596699499837_0122,query20_cluster_500G,20,500,beta,8,26,44144,28,200,20272.0,12269.0,101.36
spark-history/application_1596699499837_0122,query20_cluster_500G,20,500,beta,8,26,44144,26,572,284020.0,20809.0,496.53846153846155
spark-history/application_1596699499837_0125,query52_cluster_500G,52,500,alpha,8,26,55020,27,200,37778.0,10515.0,188.89
spark-history/application_1596699499837_0125,query52_cluster_500G,52,500,alpha,8,26,55020,26,505,399870.0,25557.0,791.8217821782179
spark-history/application_1596699499837_0146,query20_cluster_500G,20,500,beta,7,26,42226,27,200,8862.0,1176.0,44.31
spark-history/application_1596699499837_0146,query20_cluster_500G,20,500,beta,7,26,42226,28,200,19125.0,10691.0,95.625
spark-history/application_1596699499837_0146,query20_cluster_500G,20,500,beta,7,26,42226,26,572,242537.0,17705.0,424.01573426573424
spark-history/application_1596699499837_0141,query20_cluster_500G,20,500,beta,4,26,79240,27,200,13989.0,5790.0,69.945
spark-history/application_1596699499837_0141,query20_cluster_500G,20,500,beta,4,26,79240,28,200,13752.0,4909.0,68.76
